Transaction ID,Item,Quantity,Price Per Unit,Total Spent,Payment Method,Location,Transaction Date
TXN_6342161,Salad,5,5.0,25.0,ERROR,Takeaway,2023-01-08
TXN_8914892,UNKNOWN,5,5.0,25.0,Digital Wallet,,2023-03-15
TXN_3363746,Smoothie,3,4.0,12.0,Credit Card,,2023-11-25
TXN_8614868,Smoothie,5,4.0,20.0,Digital Wallet,Takeaway,2023-12-05
TXN_5522862,Cookie,ERROR,1.0,2.0,Credit Card,Takeaway,2023-03-19
TXN_3578141,Cake,5,,15.0,,Takeaway,2023-06-27
TXN_2080895,Cake,UNKNOWN,3.0,3.0,Digital Wallet,In-store,2023-04-19
TXN_6421134,Sandwich,4,4.0,16.0,Cash,Takeaway,2023-11-03
TXN_8813311,Juice,5,3.0,15.0,,In-store,2023-10-07
TXN_9023317,Salad,1,5.0,5.0,,,2023-09-30
TXN_8051289,,1,3.0,3.0,,In-store,2023-10-09
TXN_2537617,Sandwich,1,4.0,4.0,Cash,,2023-05-27
TXN_9099694,UNKNOWN,3,5.0,15.0,,Takeaway,2023-11-18
TXN_9230615,Smoothie,4,4.0,16.0,Digital Wallet,,2023-06-01
TXN_4987129,Sandwich,3,,,,In-store,2023-10-20
TXN_8501819,Juice,,3.0,6.0,Cash,,2023-03-30
TXN_3068204,Cookie,1,1.0,1.0,Credit Card,Takeaway,2023-10-03
TXN_8427104,Salad,2,ERROR,10.0,,In-store,2023-10-27
TXN_8471743,ERROR,5,3.0,15.0,Digital Wallet,In-store,2023-04-06
TXN_2621580,Tea,2,1.5,3.0,Cash,In-store,2023-03-22
TXN_4726376,Cake,2,3.0,6.0,Credit Card,In-store,2023-01-31
TXN_6044979,,1,1.0,1.0,Cash,In-store,2023-12-08
TXN_4238417,Salad,2,5.0,10.0,,ERROR,2023-06-19
TXN_1900620,Smoothie,2,4.0,8.0,Credit Card,ERROR,2023-12-14
TXN_6420335,Coffee,1,2.0,2.0,Cash,Takeaway,2023-07-16
TXN_3858209,Sandwich,4,4.0,16.0,Cash,,2023-02-22
TXN_2091733,Salad,1,5.0,5.0,,In-store,
TXN_8735480,Tea,5,1.5,7.5,Cash,,2023-06-02
TXN_3829165,Juice,4,3.0,12.0,Cash,In-store,2023-06-15
TXN_3748616,Coffee,2,2.0,4.0,Credit Card,In-store,2023-12-09
TXN_1993289,Sandwich,2,4.0,8.0,,In-store,2023-04-18
TXN_2123367,Cookie,2,1.0,2.0,,,2023-11-07
TXN_5266394,Cake,3,3.0,9.0,Cash,In-store,2023-10-28
TXN_5107946,Cake,4,3.0,12.0,Credit Card,,2023-12-22
TXN_8035512,Tea,3,,4.5,Cash,UNKNOWN,2023-10-29
TXN_8718498,Cake,5,3.0,15.0,Credit Card,ERROR,2023-04-30
TXN_3955361,Cookie,5,1.0,5.0,,Takeaway,2023-04-02
TXN_9487821,ERROR,1,5.0,5.0,Digital Wallet,Takeaway,2023-05-24
TXN_4132730,,5,1.0,5.0,,In-store,2023-03-12
TXN_8976658,Tea,2,1.5,3.0,Credit Card,In-store,2023-08-16
TXN_5455936,UNKNOWN,5,3.0,15.0,,In-store,2023-10-28
TXN_2725602,Juice,5,3.0,15.0,Credit Card,,2023-09-10
TXN_3011323,Coffee,3,2.0,6.0,Credit Card,,2023-03-07
TXN_6289610,Juice,3,3.0,UNKNOWN,Cash,Takeaway,2023-08-07
TXN_8268061,Salad,3,5.0,15.0,ERROR,Takeaway,2023-08-20
TXN_5220895,Salad,5,5.0,25.0,Cash,In-store,2023-06-10
TXN_3085509,Coffee,4,2.0,8.0,Digital Wallet,In-store,2023-04-15
TXN_9999113,Juice,4,3.0,12.0,Cash,Takeaway,2023-05-27
TXN_2738165,Salad,5,5.0,25.0,Cash,In-store,2023-09-12
